Cluster 0 - Average Entropy per Bin (0_40_80_120_1930)
Bin	UserCount	RawEntropy	rec_entropy_0	rec_entropy_40_1930	rec_entropy_80_1930	rec_entropy_120_1930
1	31	0.0000	0.0793	0.0649	0.0649	0.0649
2	31	0.0000	0.0757	0.0793	0.0793	0.0793
3	31	0.0000	0.0523	0.0719	0.0719	0.0719
4	31	0.0000	0.0648	0.0594	0.0594	0.0594
5	31	0.0000	0.0685	0.0684	0.0684	0.0684
6	31	0.0389	0.1112	0.1112	0.1112	0.1112
7	31	0.1117	0.1634	0.1440	0.1440	0.1440
8	31	0.1452	0.1386	0.1386	0.1386	0.1386
9	31	0.1817	0.2621	0.2451	0.2451	0.2451
10	36	0.2510	0.2124	0.2049	0.2049	0.2095
