Cluster 2 - Average Entropy per Bin (top15_0_40_80_120)
Bin	UserCount	rec_entropy_top15_df_0	rec_entropy_top15_df_40	rec_entropy_top15_df_80	rec_entropy_top15_df_120
1	31	1.1873	1.0914	1.0917	1.0978
2	31	1.1274	1.0981	1.1030	1.1038
3	31	1.2086	1.2329	1.2008	1.1892
4	31	1.2365	1.2909	1.2706	1.2594
5	31	1.3466	1.3129	1.3207	1.3103
6	31	1.3094	1.3362	1.2873	1.3009
7	31	1.3787	1.4015	1.4046	1.4031
8	31	1.4806	1.4819	1.4793	1.4799
9	31	1.5444	1.5401	1.5520	1.5423
10	35	1.6166	1.6208	1.6250	1.6226
